Date,DateKey,Year,Month,Day,Weekday
2016-04-29 00:00:00+00:00,20160429,2016,4,29,Friday
2016-05-03 00:00:00+00:00,20160503,2016,5,3,Tuesday
2016-05-10 00:00:00+00:00,20160510,2016,5,10,Tuesday
2016-05-17 00:00:00+00:00,20160517,2016,5,17,Tuesday
2016-05-24 00:00:00+00:00,20160524,2016,5,24,Tuesday
2016-05-31 00:00:00+00:00,20160531,2016,5,31,Tuesday
2016-05-02 00:00:00+00:00,20160502,2016,5,2,Monday
2016-05-30 00:00:00+00:00,20160530,2016,5,30,Monday
2016-05-16 00:00:00+00:00,20160516,2016,5,16,Monday
2016-05-04 00:00:00+00:00,20160504,2016,5,4,Wednesday
2016-05-19 00:00:00+00:00,20160519,2016,5,19,Thursday
2016-05-12 00:00:00+00:00,20160512,2016,5,12,Thursday
2016-05-06 00:00:00+00:00,20160506,2016,5,6,Friday
2016-05-20 00:00:00+00:00,20160520,2016,5,20,Friday
2016-05-05 00:00:00+00:00,20160505,2016,5,5,Thursday
2016-05-13 00:00:00+00:00,20160513,2016,5,13,Friday
2016-05-09 00:00:00+00:00,20160509,2016,5,9,Monday
2016-05-25 00:00:00+00:00,20160525,2016,5,25,Wednesday
2016-05-11 00:00:00+00:00,20160511,2016,5,11,Wednesday
2016-05-18 00:00:00+00:00,20160518,2016,5,18,Wednesday
2016-05-14 00:00:00+00:00,20160514,2016,5,14,Saturday
2016-06-02 00:00:00+00:00,20160602,2016,6,2,Thursday
2016-06-03 00:00:00+00:00,20160603,2016,6,3,Friday
2016-06-06 00:00:00+00:00,20160606,2016,6,6,Monday
2016-06-07 00:00:00+00:00,20160607,2016,6,7,Tuesday
2016-06-01 00:00:00+00:00,20160601,2016,6,1,Wednesday
2016-06-08 00:00:00+00:00,20160608,2016,6,8,Wednesday
2016-04-27 00:00:00+00:00,20160427,2016,4,27,Wednesday
2016-04-26 00:00:00+00:00,20160426,2016,4,26,Tuesday
2016-04-28 00:00:00+00:00,20160428,2016,4,28,Thursday
2016-04-25 00:00:00+00:00,20160425,2016,4,25,Monday
2016-04-20 00:00:00+00:00,20160420,2016,4,20,Wednesday
2016-03-31 00:00:00+00:00,20160331,2016,3,31,Thursday
2016-04-19 00:00:00+00:00,20160419,2016,4,19,Tuesday
2016-04-06 00:00:00+00:00,20160406,2016,4,6,Wednesday
2016-04-18 00:00:00+00:00,20160418,2016,4,18,Monday
2016-04-11 00:00:00+00:00,20160411,2016,4,11,Monday
2016-04-12 00:00:00+00:00,20160412,2016,4,12,Tuesday
2016-04-15 00:00:00+00:00,20160415,2016,4,15,Friday
2016-04-01 00:00:00+00:00,20160401,2016,4,1,Friday
2016-04-05 00:00:00+00:00,20160405,2016,4,5,Tuesday
2016-04-08 00:00:00+00:00,20160408,2016,4,8,Friday
2016-04-14 00:00:00+00:00,20160414,2016,4,14,Thursday
2016-04-13 00:00:00+00:00,20160413,2016,4,13,Wednesday
2016-04-07 00:00:00+00:00,20160407,2016,4,7,Thursday
2016-03-17 00:00:00+00:00,20160317,2016,3,17,Thursday
2016-03-30 00:00:00+00:00,20160330,2016,3,30,Wednesday
2016-03-29 00:00:00+00:00,20160329,2016,3,29,Tuesday
2016-03-18 00:00:00+00:00,20160318,2016,3,18,Friday
2016-03-28 00:00:00+00:00,20160328,2016,3,28,Monday
2016-03-04 00:00:00+00:00,20160304,2016,3,4,Friday
2016-03-15 00:00:00+00:00,20160315,2016,3,15,Tuesday
2016-03-14 00:00:00+00:00,20160314,2016,3,14,Monday
2016-03-21 00:00:00+00:00,20160321,2016,3,21,Monday
2016-03-23 00:00:00+00:00,20160323,2016,3,23,Wednesday
2016-03-22 00:00:00+00:00,20160322,2016,3,22,Tuesday
2016-03-16 00:00:00+00:00,20160316,2016,3,16,Wednesday
2016-03-10 00:00:00+00:00,20160310,2016,3,10,Thursday
2016-02-29 00:00:00+00:00,20160229,2016,2,29,Monday
2016-03-08 00:00:00+00:00,20160308,2016,3,8,Tuesday
2016-03-07 00:00:00+00:00,20160307,2016,3,7,Monday
2016-02-24 00:00:00+00:00,20160224,2016,2,24,Wednesday
2016-02-22 00:00:00+00:00,20160222,2016,2,22,Monday
2016-01-29 00:00:00+00:00,20160129,2016,1,29,Friday
2016-02-23 00:00:00+00:00,20160223,2016,2,23,Tuesday
2016-02-05 00:00:00+00:00,20160205,2016,2,5,Friday
2016-02-11 00:00:00+00:00,20160211,2016,2,11,Thursday
2016-02-02 00:00:00+00:00,20160202,2016,2,2,Tuesday
2016-01-05 00:00:00+00:00,20160105,2016,1,5,Tuesday
2016-01-11 00:00:00+00:00,20160111,2016,1,11,Monday
2016-02-26 00:00:00+00:00,20160226,2016,2,26,Friday
2016-02-19 00:00:00+00:00,20160219,2016,2,19,Friday
2016-02-17 00:00:00+00:00,20160217,2016,2,17,Wednesday
2016-03-03 00:00:00+00:00,20160303,2016,3,3,Thursday
2016-03-02 00:00:00+00:00,20160302,2016,3,2,Wednesday
2016-03-09 00:00:00+00:00,20160309,2016,3,9,Wednesday
2016-03-01 00:00:00+00:00,20160301,2016,3,1,Tuesday
2016-03-19 00:00:00+00:00,20160319,2016,3,19,Saturday
2016-03-11 00:00:00+00:00,20160311,2016,3,11,Friday
2016-02-16 00:00:00+00:00,20160216,2016,2,16,Tuesday
2016-02-25 00:00:00+00:00,20160225,2016,2,25,Thursday
2016-04-09 00:00:00+00:00,20160409,2016,4,9,Saturday
2015-11-10 00:00:00+00:00,20151110,2015,11,10,Tuesday
2016-02-18 00:00:00+00:00,20160218,2016,2,18,Thursday
2016-02-03 00:00:00+00:00,20160203,2016,2,3,Wednesday
2016-01-14 00:00:00+00:00,20160114,2016,1,14,Thursday
2016-01-21 00:00:00+00:00,20160121,2016,1,21,Thursday
2016-01-28 00:00:00+00:00,20160128,2016,1,28,Thursday
2016-02-01 00:00:00+00:00,20160201,2016,2,1,Monday
2015-12-14 00:00:00+00:00,20151214,2015,12,14,Monday
2015-12-08 00:00:00+00:00,20151208,2015,12,8,Tuesday
2016-01-07 00:00:00+00:00,20160107,2016,1,7,Thursday
2016-04-30 00:00:00+00:00,20160430,2016,4,30,Saturday
2016-04-16 00:00:00+00:00,20160416,2016,4,16,Saturday
2016-02-04 00:00:00+00:00,20160204,2016,2,4,Thursday
2015-12-03 00:00:00+00:00,20151203,2015,12,3,Thursday
2016-01-04 00:00:00+00:00,20160104,2016,1,4,Monday
2016-01-13 00:00:00+00:00,20160113,2016,1,13,Wednesday
2016-02-12 00:00:00+00:00,20160212,2016,2,12,Friday
2016-01-20 00:00:00+00:00,20160120,2016,1,20,Wednesday
2016-01-22 00:00:00+00:00,20160122,2016,1,22,Friday
2016-01-25 00:00:00+00:00,20160125,2016,1,25,Monday
2016-01-27 00:00:00+00:00,20160127,2016,1,27,Wednesday
2016-01-19 00:00:00+00:00,20160119,2016,1,19,Tuesday
2016-02-15 00:00:00+00:00,20160215,2016,2,15,Monday
2016-05-07 00:00:00+00:00,20160507,2016,5,7,Saturday
2016-06-04 00:00:00+00:00,20160604,2016,6,4,Saturday
2016-01-26 00:00:00+00:00,20160126,2016,1,26,Tuesday
2015-12-07 00:00:00+00:00,20151207,2015,12,7,Monday
2015-12-15 00:00:00+00:00,20151215,2015,12,15,Tuesday
2016-03-05 00:00:00+00:00,20160305,2016,3,5,Saturday
