DateKey,OccupiedBeds
20170104,29
20170105,38
20170106,40
20170107,37
20170108,41
20170109,32
20170110,37
20170111,38
20170112,39
20170113,39
20170114,39
20170115,39
20170116,39
20170117,39
20170118,39
20170119,39
20170120,39
20170121,39
20170122,39
20170123,39
20170124,39
20170125,39
20170126,39
20170127,39
20170128,39
20170129,39
20170130,39
20170131,39
20170201,39
20170202,39
20170203,39
20170204,46
20170205,45
20170206,35
20170207,44
20170208,40
20170209,42
20170210,53
20170211,58
20170212,55
20170213,55
20170214,55
20170215,55
20170216,55
20170217,55
20170218,55
20170219,55
20170220,55
20170221,55
20170222,55
20170223,55
20170224,55
20170225,55
20170226,55
20170227,55
20170228,55
20170301,55
20170302,55
20170303,55
20170304,74
20170305,72
20170306,84
20170307,86
20170308,85
20170309,76
20170310,79
20170311,85
20170312,90
20170313,90
20170314,90
20170315,90
20170316,90
20170317,90
20170318,90
20170319,90
20170320,90
20170321,90
20170322,90
20170323,90
20170324,90
20170325,90
20170326,90
20170327,90
20170328,90
20170329,90
20170330,90
20170331,90
20170401,91
20170402,93
20170403,91
20170404,97
20170405,95
20170406,94
20170407,96
20170408,94
20170409,97
20170410,101
20170411,92
20170412,94
20170413,94
20170414,94
20170415,94
20170416,94
20170417,93
20170418,93
20170419,93
20170420,93
20170421,93
20170422,94
20170423,96
20170424,97
20170425,96
20170426,96
20170427,95
20170428,95
20170429,95
20170430,95
20170501,95
20170502,94
20170503,94
20170504,91
20170505,92
20170506,104
20170507,110
20170508,113
20170509,114
20170510,109
20170511,111
20170512,117
20170513,117
20170514,117
20170515,117
20170516,117
20170517,117
20170518,117
20170519,117
20170520,117
20170521,117
20170522,117
20170523,117
20170524,117
20170525,117
20170526,117
20170527,117
20170528,117
20170529,117
20170530,117
20170531,117
20170601,116
20170602,116
20170603,116
20170604,114
20170605,110
20170606,113
20170607,111
20170608,122
20170609,123
20170610,125
20170611,127
20170612,120
20170613,120
20170614,120
20170615,120
20170616,120
20170617,120
20170618,120
20170619,120
20170620,120
20170621,120
20170622,120
20170623,120
20170624,120
20170625,122
20170626,123
20170627,122
20170628,122
20170629,122
20170630,122
20170701,120
20170702,120
20170703,120
20170704,116
20170705,123
20170706,131
20170707,129
20170708,130
20170709,127
20170710,133
20170711,129
20170712,132
20170713,132
20170714,132
20170715,132
20170716,132
20170717,132
20170718,132
20170719,132
20170720,132
20170721,132
20170722,132
20170723,132
20170724,132
20170725,132
20170726,132
20170727,132
20170728,132
20170729,132
20170730,132
20170731,132
20170801,132
20170802,132
20170803,132
20170804,126
20170805,128
20170806,129
20170807,127
20170808,122
20170809,124
20170810,131
